文件名,序号,学号,姓名,性别,电话,英语,数学,成绩
Js&oP01,Js&oP02,Js&oP03,Js&oP04,Js&oP05,Js&oP06,Js&oP07,Js&oP08,Js&oP09
ST20001,  P0001,ST20001,"刘乔松	",男,"17185349444	",56,61,优秀
ST20002,  P0002,ST20002,"郝秋莹	",男,"13853017031	",57,62,良好
ST20003,  P0003,ST20003,"丁琨	",男,"15194129781	",58,63,不及格
ST20004,  P0004,ST20004,"刘志家	",男,"18678869523	",59,64,及格
ST20005,  P0005,ST20005,"周长泉	",男,"15966129598	",60,65,优秀
ST20006,  P0006,ST20006,"陈浩先	",男,"13969195331	",61,66,良好
ST20007,  P0007,ST20007,"张瑞娜	",男,"13325245918	",62,67,不及格
ST20008,  P0008,ST20008,"齐召森	",男,"15253179160	",63,68,及格
ST20009,  P0009,ST20009,"李秀香	",男,"15315984932	",64,69,优秀
ST20010,  P0010,ST20010,"霍国华	",男,"13792003992	",65,70,良好
ST20011,  P0011,ST20011,"韩运国	",男,"18753496688	",66,71,不及格
,,,,,,,,
,,,,,,,,
,,,,,,,,
